,Species,Year,Sample_type,Tag,Tag_num,NMDS1,NMDS2
072023_Carolina_2023_Baya_053_MCAV_S3,MCAV,2023,DT,MCAV-3,3,-0.02112777,0.153908172
072023_Carolina_2023_Baya_055_MCAV_S4,MCAV,2023,DM,MCAV-3,3,0.199536023,-0.064274947
122021_Coralina_2021_Baya_003_MCAV_S27,MCAV,2021,H,MCAV-2,2,0.007322654,0.387654124
122021_Coralina_2021_Baya_005_MCAV_S28,MCAV,2021,H,MCAV-3,3,0.044110544,0.087901272
122021_Coralina_2021_Baya_007_MCAV_S29,MCAV,2021,H,MCAV-4,4,0.139486345,0.105360212
122021_Coralina_2021_Baya_017_MCAV_S30,MCAV,2021,H,MCAV-9,9,-0.024416367,0.01589018
122021_Coralina_2021_Baya_023_MCAV_S31,MCAV,2021,H,MCAV-0,0,0.058626632,0.175157691
072023_Carolina_2023_Baya_052_DCYL_S9,DCYL,2023,DM,DCYL-5,5,-0.496783335,-0.133613592
072023_Carolina_2023_Baya_065_DCYL_S1,DCYL,2023,DT,DCYL-1,1,-0.085814489,0.239880068
072023_Carolina_2023_Baya_066_DCYL_S2,DCYL,2023,DM,DCYL-1,1,0.185358342,-0.076486649
122021_Coralina_2021_Baya_001_DCYL_S24,DCYL,2021,H,DCYL-1,1,0.152159917,-0.075115396
122021_Coralina_2021_Baya_009_DCYL_S25,DCYL,2021,H,DCYL-5,5,0.084378177,0.269990233
122021_Coralina_2021_Baya_010_DCYL_S26,DCYL,2021,H,DCYL-6,6,0.262858074,0.216231718
122021_Coralina_2021_Baya_025_MMEA_S22,MMEA,2021,H,MMEA-3,3,0.247107544,-0.224926835
122021_Coralina_2021_Baya_029_MMEA_S23,MMEA,2021,H,MMEA-5,5,0.178153803,-0.203146158
122021_Coralina_2021_Baya_031_MMEA_S45,MMEA,2021,H,MMEA-6,6,0.235954066,-0.207066256
072023_Carolina_2023_Baya_057_SSID_S7,SSID,2023,DT,SSID-2,2,0.020106468,-0.000465878
072023_Carolina_2023_Baya_059_SSID_S8,SSID,2023,DM,SSID-2,2,0.020584672,-0.010088335
072023_Carolina_2023_Baya_061_SSID_S5,SSID,2023,DT,SSID-1,1,0.189309137,-0.10894907
072023_Carolina_2023_Baya_063_SSID_S6,SSID,2023,DM,SSID-1,1,0.226928447,-0.123434978
122021_Coralina_2021_Baya_019_SSID1_S46,SSID,2021,H,SSID-1,1,0.19210389,-0.093984851
122021_Coralina_2021_Baya_021_SSID2_S36,SSID,2021,H,SSID-2,2,-0.672206283,-0.128831568
122021_Coralina_2021_Baya_027_PSTR4_S34,PSTR,2021,H,PSTR-4,4,-0.480968679,-0.213573041
122021_Coralina_2021_Baya_033_PSTR7_S35,PSTR,2021,H,PSTR-7,7,-0.283910777,0.257685566
122021_Coralina_2021_Baya_035_PSTR_S32,PSTR,2021,H,PSTR-8,8,-0.223490457,-0.154741004
122021_Coralina_2021_Baya_037_PSTR_S33,PSTR,2021,H,PSTR-9,9,-0.323268736,0.123334377
122021_Coralina_2021_Baya_013_DLAB_S43,DLAB,2021,H,DLAB-7,7,0.107872153,-0.114853845
122021_Coralina_2021_Baya_015_DLAB_S44,DLAB,2021,H,DLAB-8,8,0.060030007,-0.09944121
